TeamName    RBI   Year
Montreal Expos    659    1997
Florida Marlins    655    1999
St. Louis Cardinals    654    1997
Milwaukee Brewers    643    1997
Minnesota Twins    643    1999
Chicago Cubs    642    1997
Los Angeles Dodgers    630    1998
Toronto Blue Jays    627    1997
Philadelphia Phillies    622    1997
Arizona Diamondbacks    621    1998
Florida Marlins    621    1998
Pittsburgh Pirates    613    1998
Cincinnati Reds    612    1997
Montreal Expos    602    1998
Tampa Bay Devil Rays    579    1998
************END**************

Field  Year  Median  TeamName  
G    1998    162    Milwaukee Brewers
************END**************

HR    1998    234    Seattle Mariners
************END**************

TeamName    B3   Year

Kansas City Royals    52    1999
Pittsburgh Pirates    52    1997
Montreal Expos    47    1999
Arizona Diamondbacks    46    1999
Arizona Diamondbacks    46    1998
Florida Marlins    44    1999
Philadelphia Phillies    44    1999
Tampa Bay Devil Rays    43    1998
Boston Red Sox    42    1999
Toronto Blue Jays    41    1997
Colorado Rockies    40    1997
Houston Astros    40    1997
Kansas City Royals    40    1998
Minnesota Twins    40    1997
Pittsburgh Pirates    40    1999
Chicago Cubs    39    1997
Colorado Rockies    39    1999
St. Louis Cardinals    39    1997
Chicago White Sox    38    1998
Atlanta Braves    37    1997
Chicago White Sox    37    1999
Cincinnati Reds    37    1999
San Francisco Giants    37    1997
Colorado Rockies    36    1998
Florida Marlins    36    1998
New York Yankees    36    1999
Philadelphia Phillies    36    1998
Boston Red Sox    35    1998
Chicago Cubs    35    1999
Kansas City Royals    35    1997
Philadelphia Phillies    35    1997
Pittsburgh Pirates    35    1998
Chicago Cubs    34    1998
Detroit Tigers    34    1999
Montreal Expos    34    1997
Los Angeles Dodgers    33    1997
Boston Red Sox    32    1997
Cleveland Indians    32    1999
Detroit Tigers    32    1997
Minnesota Twins    32    1998
Montreal Expos    32    1998
Texas Rangers    32    1998
New York Yankees    31    1998
Cleveland Indians    30    1998
Milwaukee Brewers    30    1999
Minnesota Twins    30    1999
San Diego Padres    30    1998
St. Louis Cardinals    30    1998
Detroit Tigers    29    1998
Tampa Bay Devil Rays    29    1999
Texas Rangers    29    1999
Chicago White Sox    28    1997
Cincinnati Reds    28    1998
Florida Marlins    28    1997
Houston Astros    28    1998
New York Mets    28    1997
Seattle Mariners    28    1998
Anaheim Angels    27    1998
Cincinnati Reds    27    1997
Los Angeles Dodgers    27    1998
Milwaukee Brewers    27    1997
St. Louis Cardinals    27    1999
Texas Rangers    27    1997
Atlanta Braves    26    1998
San Francisco Giants    26    1998
Anaheim Angels    25    1997
New York Mets    24    1998
Atlanta Braves    23    1999
Houston Astros    23    1999
Los Angeles Dodgers    23    1999
New York Yankees    23    1997
Oakland Athletics    23    1997
Anaheim Angels    22    1999
Baltimore Orioles    22    1997
Cleveland Indians    22    1997
San Diego Padres    22    1999
Baltimore Orioles    21    1999
Seattle Mariners    21    1999
Seattle Mariners    21    1997
Oakland Athletics    20    1999
Toronto Blue Jays    19    1998
San Francisco Giants    18    1999
Milwaukee Brewers    17    1998
San Diego Padres    16    1997
New York Mets    14    1999
Toronto Blue Jays    14    1999
Oakland Athletics    13    1998
Baltimore Orioles    11    1998
************END**************

Field  Year  Median  TeamName  
G    1999    162    Colorado Rockies
************END**************

